,date,latitude,longitude,species,total,habitat,year
0, 2000-07-29 ,78.55,25.4166666666667,bowhead whale,1,water,2000
1, 2000-08-08 ,79.1166666666667,21.4416666666667,bowhead whale,1,water,2000
2, 2000-08-16 ,78.917,24.05,bowhead whale,1,water,2000
3, 2001-08-08 ,79.268,20.858,bowhead whale,1,water,2001
4, 2005-08-06 ,78.932,11.922,bowhead whale,1,water,2005
5, 2006-04-17 ,80.27,0.68,bowhead whale,1,unknown,2006
6, 2006-04-25 ,81.03,1.15,bowhead whale,1,unknown,2006
7, 2006-04-26 ,81.12,1.6,bowhead whale,1,unknown,2006
8, 2006-04-26 ,81.04,1.16,bowhead whale,1,unknown,2006
9, 2006-04-28 ,81.18,1.76,bowhead whale,1,unknown,2006
10, 2006-07-19 ,78.244,15.565,bowhead whale,1,water,2006
11, 2006-07-21 ,78.1033333333333,13.9666666666667,bowhead whale,1,water,2006
12, 2006-07-30 ,79.581,20.849,bowhead whale,1,water,2006
13, 2006-07-30 ,79.581,20.849,bowhead whale,1,water,2006
14, 2007-08-22 ,79.523,17.879,bowhead whale,1,,2007
15, 2009-07-01 ,80.07,15.73,bowhead whale,1,water,2009
16, 2009-07-01 ,80.076,15.79,bowhead whale,1,water,2009
17, 2009-07-04 ,80.04,15.332,bowhead whale,1,water,2009
18, 2010-04-03 ,79.9,1.005,bowhead whale,1,unknown,2010
19, 2012-06-24 ,79.9307,13.4633,bowhead whale,1,unknown,2012
20, 2012-08-21 ,78.814,6.506,bowhead whale,1,water,2012
21, 2012-08-27 ,80.10167,16.01,bowhead whale,1,water,2012
22, 2012-09-03 ,79.25,5.02,bowhead whale,1,water,2012
23, 2013-06-14 ,76.291,8.291,bowhead whale,1,water,2013
24, 2013-06-14 ,76.168,8.324,bowhead whale,1,water,2013
25, 2013-06-14 ,76.466,8.018,bowhead whale,1,water,2013
26, 2013-07-26 ,79.268,10.069,bowhead whale,1,water,2013
27, 2015-06-09 ,77.28529834,0.86226594,bowhead whale,1,water,2015
28, 2015-06-09 ,77.0290778,5.15690091,bowhead whale,1,water,2015
29, 2015-06-09 ,77.13016461,2.61487307,bowhead whale,1,water,2015
30, 2015-06-09 ,77.10454279,3.4900856,bowhead whale,1,water,2015
31, 2015-08-02 ,81.3647833333333,15.7626833333333,bowhead whale,1,water,2015
32, 2015-08-14 ,80.148,27.892,bowhead whale,1,water,2015
33, 2015-08-24 ,81.775,21.2734,bowhead whale,1,water,2015
34, 2015-08-24 ,81.7562666666666,19.90555,bowhead whale,1,water,2015
35, 2016-06-05 ,76.96566272,4.58846246,bowhead whale,1,water,2016
36, 2016-06-05 ,76.9758687078,4.5634232842,bowhead whale,1,water,2016
37, 2016-06-05 ,76.96566272,4.58846246,bowhead whale,1,,2016
38, 2016-06-06 ,77.79809768,2.15746201,bowhead whale,1,water,2016
39, 2016-06-06 ,77.61424217,4.35552282,bowhead whale,1,,2016
40, 2016-06-06 ,77.79809768,2.15746201,bowhead whale,1,water,2016
41, 2016-06-06 ,77.79809768,2.15746201,bowhead whale,1,,2016
42, 2016-06-20 ,81.0,16.53,bowhead whale,1,,2016
43, 2016-06-22 ,80.7333333333333,21.8666666666666,bowhead whale,1,,2016
44, 2008-08-01 ,78.85096,33.69752,bowhead whale,1,water,2008
45, 2016-06-06 ,77.61234,4.34891,bowhead whale,1,water,2016
46, 2016-08-14 ,78.90094,20.92518,bowhead whale,1,,2016
47, 2016-08-14 ,78.90094,20.92518,bowhead whale,1,,2016
48, 2011-10-07 ,79.197,9.081,bowhead whale,2,unknown,2011
49, 2012-06-24 ,79.963,13.425,bowhead whale,2,water,2012
50, 2012-06-28 ,80.0,29.39,bowhead whale,2,water,2012
51, 2016-04-07 ,72.4166666666666,15.8833333333333,bowhead whale,2,,2016
52, 2016-06-06 ,77.70038944,4.94048681,bowhead whale,2,water,2016
53, 2016-06-06 ,77.7792939634,2.8728513727,bowhead whale,2,water,2016
54, 2016-06-06 ,77.73006733,3.04059341,bowhead whale,2,water,2016
55, 2016-06-06 ,77.6550746057,4.5657015174,bowhead whale,2,water,2016
56, 2016-06-06 ,77.70038944,4.94048681,bowhead whale,2,water,2016
57, 2016-06-06 ,77.73006733,3.04059341,bowhead whale,2,,2016
58, 2016-06-06 ,77.7792939634,2.8728513727,bowhead whale,2,water,2016
59, 2016-06-06 ,77.65417491,4.56100015,bowhead whale,2,,2016
60, 2016-06-06 ,77.6550746057,4.5657015174,bowhead whale,2,water,2016
61, 2016-06-06 ,77.73006733,3.04059341,bowhead whale,2,water,2016
62, 2016-06-06 ,77.70038944,4.94048681,bowhead whale,2,,2016
63, 2016-07-10 ,81.18,15.36,bowhead whale,2,,2016
64, 2008-07-31 ,78.64945,29.30327,bowhead whale,2,water,2008
65, 2006-04-26 ,81.31,2.3,bowhead whale,3,unknown,2006
66, 2006-04-28 ,81.35,1.53,bowhead whale,3,unknown,2006
67, 2011-09-07 ,78.775,8.792,bowhead whale,3,unknown,2011
68, 2012-06-08 ,80.37,13.27,bowhead whale,3,water,2012
69, 2015-06-08 ,76.85349518,5.07748264,bowhead whale,3,water,2015
70, 2015-08-29 ,81.7640666666666,19.9064166666666,bowhead whale,3,ice,2015
71, 2010-07-13 ,78.2416666666667,15.5416666666667,bowhead whale,4,unknown,2010
72, 2015-06-09 ,77.07825589,5.13780691,bowhead whale,4,water,2015
73, 2005-08-17 ,79.719,31.352,bowhead whale,5,water,2005
74, 2005-08-17 ,79.992,31.58,bowhead whale,5,water,2005
75, 2015-06-08 ,76.89330524,5.04959537,bowhead whale,5,water,2015
76, 2015-08-02 ,81.3991333333333,15.29725,bowhead whale,5,water,2015
77, 2016-06-06 ,77.70269,4.94135,bowhead whale,5,water,2016
78, 2015-06-09 ,77.01990868,5.16825936,bowhead whale,6,water,2015
79, 2006-04-18 ,80.58,2.09,bowhead whale,7,unknown,2006
80, 2009-06-30 ,79.0,0.0,bowhead whale,7,unknown,2009
81, 2015-06-08 ,76.88460297,5.02343022,bowhead whale,7,water,2015
82, 2015-06-08 ,76.95148555,5.12864859,bowhead whale,20,water,2015
83, 2015-06-09 ,76.9818985,5.16060781,bowhead whale,20,water,2015
84, 2015-06-08 ,73.56,5.08,bowhead whale,80,,2015
85, 1998-08-24 ,77.8333333333333,4.5,common minkie whale,1,,1998
86, 2000-08-14 ,77.624,13.492,common minkie whale,1,water,2000
87, 2002-05-19 ,74.7,13.1666666666667,common minkie whale,1,unknown,2002
88, 2002-05-19 ,74.7333333333333,8.15,common minkie whale,1,unknown,2002
89, 2002-08-27 ,76.4666666666667,23.1666666666667,common minkie whale,1,unknown,2002
90, 2002-08-27 ,76.1833333333333,21.4666666666667,common minkie whale,1,unknown,2002
91, 2002-08-28 ,76.3166666666667,10.25,common minkie whale,1,unknown,2002
92, 2002-08-28 ,76.3,10.5166666666667,common minkie whale,1,unknown,2002
93, 2002-08-28 ,76.3166666666667,10.4166666666667,common minkie whale,1,unknown,2002
94, 2002-08-28 ,76.3166666666667,10.2,common minkie whale,1,unknown,2002
95, 2002-08-28 ,76.3166666666667,10.1666666666667,common minkie whale,1,unknown,2002
96, 2002-08-29 ,76.3333333333333,4.15,common minkie whale,1,unknown,2002
97, 2002-08-29 ,76.3333333333333,5.86666666666667,common minkie whale,1,unknown,2002
98, 2002-08-29 ,76.3333333333333,7.98333333333333,common minkie whale,1,unknown,2002
99, 2002-08-29 ,76.4166666666667,5.48333333333333,common minkie whale,1,unknown,2002
100, 2002-08-29 ,76.3333333333333,5.86666666666667,common minkie whale,1,unknown,2002
101, 2002-08-29 ,76.3333333333333,8.06666666666667,common minkie whale,1,unknown,2002
102, 2002-08-30 ,77.3333333333333,11.2333333333333,common minkie whale,1,unknown,2002
103, 2002-08-31 ,79.85,10.6333333333333,common minkie whale,1,unknown,2002
104, 2002-08-31 ,79.6333333333333,10.05,common minkie whale,1,unknown,2002
105, 2002-08-31 ,79.6666666666667,6.55,common minkie whale,1,unknown,2002
106, 2002-08-31 ,78.6666666666667,10.0333333333333,common minkie whale,1,unknown,2002
107, 2002-08-31 ,79.9,10.2333333333333,common minkie whale,1,unknown,2002
108, 2002-08-31 ,79.65,6.38333333333333,common minkie whale,1,unknown,2002
109, 2002-08-31 ,79.9166666666667,10.8833333333333,common minkie whale,1,unknown,2002
110, 2002-08-31 ,79.8666666666667,10.7166666666667,common minkie whale,1,unknown,2002
111, 2002-08-31 ,79.6833333333333,6.73333333333333,common minkie whale,1,unknown,2002
112, 2002-08-31 ,79.9,10.5166666666667,common minkie whale,1,unknown,2002
113, 2002-08-31 ,79.9166666666667,10.5666666666667,common minkie whale,1,unknown,2002
114, 2002-09-01 ,78.3666666666667,7.6,common minkie whale,1,unknown,2002
115, 2002-09-01 ,78.3333333333333,5.33333333333333,common minkie whale,1,unknown,2002
116, 2002-09-01 ,78.4666666666667,7.4,common minkie whale,1,unknown,2002
117, 2002-09-01 ,78.3333333333333,5.23333333333333,common minkie whale,1,unknown,2002
118, 2002-09-01 ,78.2166666666667,7.86666666666667,common minkie whale,1,unknown,2002
119, 2002-09-01 ,78.0166666666667,8.28333333333333,common minkie whale,1,unknown,2002
120, 2002-09-01 ,78.4166666666667,6.55,common minkie whale,1,unknown,2002
121, 2002-09-01 ,77.85,7.8,common minkie whale,1,unknown,2002
122, 2002-09-01 ,78.3833333333333,7.6,common minkie whale,1,unknown,2002
123, 2002-09-05 ,74.15,11.6666666666667,common minkie whale,1,unknown,2002
124, 2003-06-25 ,72.8333333333333,6.61666666666667,common minkie whale,1,water,2003
125, 2003-07-02 ,79.9,10.7333333333333,common minkie whale,1,water,2003
126, 2003-07-08 ,79.3,11.619,common minkie whale,1,water,2003
127, 2003-07-08 ,79.1333333333333,11.6666666666667,common minkie whale,1,water,2003
128, 2003-07-09 ,79.7333333333333,11.05,common minkie whale,1,water,2003
129, 2003-07-11 ,75.0432,12.007,common minkie whale,1,water,2003
130, 2003-07-11 ,74.2411,17.1649,common minkie whale,1,water,2003
131, 2003-07-11 ,74.2862,17.2616,common minkie whale,1,water,2003
132, 2003-07-11 ,75.1555,11.2716,common minkie whale,1,water,2003
133, 2003-07-11 ,75.0292,12.0477,common minkie whale,1,water,2003
134, 2003-07-11 ,74.1562,17.004,common minkie whale,1,water,2003
135, 2003-07-17 ,74.3343,26.1522,common minkie whale,1,water,2003
136, 2003-07-17 ,74.1637,27.0513,common minkie whale,1,water,2003
137, 2003-07-20 ,76.1834,20.0454,common minkie whale,1,water,2003
138, 2003-07-20 ,76.1855,20.0367,common minkie whale,1,water,2003
139, 2003-07-20 ,76.2081,19.5422,common minkie whale,1,water,2003
140, 2003-07-20 ,76.3257,19.3557,common minkie whale,1,water,2003
141, 2003-07-20 ,76.1927,20.0069,common minkie whale,1,water,2003
142, 2003-07-21 ,76.4224,22.269,common minkie whale,1,water,2003
143, 2003-07-21 ,76.3445,20.0615,common minkie whale,1,water,2003
144, 2003-07-21 ,76.5341,26.5692,common minkie whale,1,water,2003
145, 2003-07-21 ,76.4196,22.2126,common minkie whale,1,water,2003
146, 2003-07-21 ,74.5817,10.1058,common minkie whale,1,water,2003
147, 2003-07-21 ,76.3805,21.081,common minkie whale,1,water,2003
148, 2003-07-21 ,74.0332,9.2321,common minkie whale,1,water,2003
149, 2003-07-21 ,76.3384,19.5589,common minkie whale,1,water,2003
150, 2003-07-22 ,75.0309,5.2299,common minkie whale,1,water,2003
151, 2003-07-22 ,75.0139,5.1749,common minkie whale,1,water,2003
152, 2003-07-22 ,75.1391,5.5386,common minkie whale,1,water,2003
153, 2003-07-22 ,74.3278,3.5696,common minkie whale,1,water,2003
154, 2003-07-23 ,75.3952,7.09,common minkie whale,1,water,2003
155, 2003-07-23 ,76.257,9.3068,common minkie whale,1,water,2003
156, 2003-07-23 ,76.4145,10.2068,common minkie whale,1,water,2003
157, 2003-07-23 ,76.2488,9.2805,common minkie whale,1,water,2003
158, 2003-07-23 ,76.2361,9.2389,common minkie whale,1,water,2003
159, 2003-07-23 ,76.1715,9.0376,common minkie whale,1,water,2003
160, 2003-07-23 ,75.4198,7.1631,common minkie whale,1,water,2003
161, 2003-07-23 ,76.1468,8.5605,common minkie whale,1,water,2003
162, 2003-07-23 ,75.4761,7.332,common minkie whale,1,water,2003
163, 2003-07-23 ,76.174,9.0455,common minkie whale,1,water,2003
164, 2003-07-23 ,76.4791,10.4151,common minkie whale,1,water,2003
165, 2003-07-23 ,76.1493,8.5682,common minkie whale,1,water,2003
166, 2003-07-23 ,76.2966,9.4304,common minkie whale,1,water,2003
167, 2003-07-23 ,76.1033,8.4254,common minkie whale,1,water,2003
168, 2003-07-25 ,79.2829,8.5616,common minkie whale,1,water,2003
169, 2003-07-26 ,78.3452,8.4193,common minkie whale,1,water,2003
170, 2003-07-26 ,77.0118,9.2627,common minkie whale,1,water,2003
171, 2003-07-26 ,76.5035,10.3938,common minkie whale,1,water,2003
172, 2003-07-26 ,78.3911,7.5409,common minkie whale,1,water,2003
173, 2003-07-26 ,77.5093,10.559,common minkie whale,1,water,2003
174, 2003-07-27 ,77.176,12.2309,common minkie whale,1,water,2003
175, 2003-07-27 ,76.5634,13.0492,common minkie whale,1,water,2003
176, 2003-08-02 ,75.5945,13.4843,common minkie whale,1,water,2003
177, 2003-08-02 ,76.1439,16.0701,common minkie whale,1,water,2003
178, 2003-08-02 ,76.2568,13.4798,common minkie whale,1,water,2003
179, 2003-08-03 ,75.4001,15.3375,common minkie whale,1,water,2003
180, 2003-08-03 ,75.3603,17.0159,common minkie whale,1,water,2003
181, 2003-08-03 ,75.3797,16.2011,common minkie whale,1,water,2003
182, 2003-08-03 ,75.361,17.0042,common minkie whale,1,water,2003
183, 2003-08-03 ,75.3509,17.1777,common minkie whale,1,water,2003
184, 2003-08-03 ,75.4099,15.164,common minkie whale,1,water,2003
185, 2003-08-05 ,74.4484,17.4484,common minkie whale,1,water,2003
186, 2003-08-05 ,74.4393,18.3111,common minkie whale,1,water,2003
187, 2003-08-05 ,74.447,17.3836,common minkie whale,1,water,2003
188, 2003-08-05 ,74.4389,18.3482,common minkie whale,1,water,2003
189, 2003-08-05 ,74.439,18.3251,common minkie whale,1,water,2003
190, 2003-08-05 ,74.4401,18.254,common minkie whale,1,water,2003
191, 2003-08-05 ,74.4275,19.2589,common minkie whale,1,water,2003
192, 2003-08-05 ,74.3957,21.3397,common minkie whale,1,water,2003
193, 2003-08-05 ,74.4389,18.3418,common minkie whale,1,water,2003
194, 2003-08-06 ,74.153,21.129,common minkie whale,1,water,2003
195, 2003-08-06 ,74.4333333333333,5.25,common minkie whale,1,unknown,2003
196, 2003-08-06 ,74.3333333333333,5.08333333333333,common minkie whale,1,unknown,2003
197, 2003-08-06 ,74.2666666666667,4.98333333333333,common minkie whale,1,unknown,2003
198, 2003-08-07 ,74.5,14.2333333333333,common minkie whale,1,unknown,2003
199, 2003-08-07 ,77.5679,7.0336,common minkie whale,1,water,2003
200, 2003-08-07 ,74.5,14.1166666666667,common minkie whale,1,unknown,2003
201, 2003-08-07 ,74.5,14.8666666666667,common minkie whale,1,unknown,2003
202, 2003-08-08 ,75.5,16.3333333333333,common minkie whale,1,unknown,2003
203, 2003-08-08 ,74.8833333333333,17.5833333333333,common minkie whale,1,unknown,2003
204, 2003-08-11 ,76.7833333333333,13.7166666666667,common minkie whale,1,unknown,2003
205, 2003-08-12 ,75.5666666666667,25.3833333333333,common minkie whale,1,unknown,2003
206, 2003-08-12 ,75.0666666666667,24.6666666666667,common minkie whale,1,unknown,2003
207, 2003-08-15 ,74.4333333333333,26.4666666666667,common minkie whale,1,unknown,2003
208, 2003-08-26 ,76.6833333333333,35.0166666666667,common minkie whale,1,unknown,2003
209, 2003-08-26 ,76.4833333333333,34.7666666666667,common minkie whale,1,unknown,2003
210, 2003-09-03 ,78.912,9.733,common minkie whale,1,water,2003
211, 2003-09-11 ,75.7,36.5166666666667,common minkie whale,1,unknown,2003
212, 2003-09-11 ,75.7333333333333,36.3,common minkie whale,1,unknown,2003
213, 2003-09-11 ,75.6666666666667,36.5833333333333,common minkie whale,1,unknown,2003
214, 2003-09-27 ,77.1666666666667,28.0833333333333,common minkie whale,1,unknown,2003
215, 2004-08-31 ,74.1472,32.5336,common minkie whale,1,water,2004
216, 2004-08-31 ,74.1471,32.5504,common minkie whale,1,water,2004
217, 2004-09-03 ,75.0387,34.3795,common minkie whale,1,water,2004
218, 2004-09-03 ,74.5025,34.0751,common minkie whale,1,water,2004
219, 2004-09-03 ,74.4889,34.4138,common minkie whale,1,water,2004
220, 2004-09-04 ,75.3992,26.332,common minkie whale,1,water,2004
221, 2004-09-05 ,75.5277,31.1363,common minkie whale,1,water,2004
222, 2004-09-06 ,76.4204,31.0696,common minkie whale,1,water,2004
223, 2004-09-06 ,76.3767,31.0937,common minkie whale,1,water,2004
224, 2004-09-09 ,78.8816666666667,4.05166666666667,common minkie whale,1,,2004
225, 2004-09-16 ,74.2454,37.1842,common minkie whale,1,water,2004
226, 2004-09-16 ,74.4666666666667,37.25,common minkie whale,1,unknown,2004
227, 2004-09-16 ,74.45,37.2666666666667,common minkie whale,1,unknown,2004
228, 2004-09-16 ,74.5166666666667,37.2,common minkie whale,1,unknown,2004
229, 2004-09-16 ,74.2857,37.1526,common minkie whale,1,water,2004
230, 2004-09-16 ,74.3193,37.1225,common minkie whale,1,water,2004
231, 2004-09-16 ,74.3129,37.1281,common minkie whale,1,water,2004
232, 2004-09-16 ,74.5166666666667,37.2,common minkie whale,1,unknown,2004
233, 2004-09-18 ,76.55,37.9666666666667,common minkie whale,1,unknown,2004
234, 2004-09-18 ,76.3318,37.5893,common minkie whale,1,water,2004
235, 2004-09-19 ,76.3844,29.0643,common minkie whale,1,water,2004
236, 2004-09-19 ,76.5595,33.5619,common minkie whale,1,water,2004
237, 2004-09-19 ,76.6333333333333,29.1,common minkie whale,1,unknown,2004
238, 2004-09-19 ,76.7,29.2833333333333,common minkie whale,1,unknown,2004
239, 2004-09-22 ,79.3001,29.142,common minkie whale,1,water,2004
240, 2004-09-22 ,79.5,29.3333333333333,common minkie whale,1,unknown,2004
241, 2004-09-27 ,77.3,27.1916,common minkie whale,1,water,2004
242, 2004-09-27 ,77.2994,29.5413,common minkie whale,1,water,2004
243, 2004-09-29 ,77.05,27.0166666666667,common minkie whale,1,unknown,2004
244, 2004-09-29 ,77.1666666666667,27.2,common minkie whale,1,unknown,2004
245, 2004-09-29 ,77.0166666666667,27.0166666666667,common minkie whale,1,unknown,2004
246, 2004-09-29 ,77.0695,27.005,common minkie whale,1,water,2004
247, 2004-09-29 ,77.1333333333333,27.0,common minkie whale,1,unknown,2004
248, 2004-09-29 ,77.0166666666667,27.0166666666667,common minkie whale,1,unknown,2004
249, 2004-09-29 ,77.1166666666667,27.0,common minkie whale,1,unknown,2004
250, 2004-09-29 ,77.0002,27.0109,common minkie whale,1,water,2004
251, 2004-09-29 ,77.0109,27.0132,common minkie whale,1,water,2004
252, 2004-09-29 ,76.5994,27.0107,common minkie whale,1,water,2004
253, 2004-09-29 ,77.1666666666667,27.0833333333333,common minkie whale,1,unknown,2004
254, 2004-09-29 ,77.0,27.0166666666667,common minkie whale,1,unknown,2004
255, 2004-09-29 ,77.1008,27.0579,common minkie whale,1,water,2004
256, 2004-09-29 ,77.0785,27.0074,common minkie whale,1,water,2004
257, 2004-09-29 ,77.0807,27.0081,common minkie whale,1,water,2004
258, 2004-09-29 ,76.9833333333333,27.0166666666667,common minkie whale,1,unknown,2004
259, 2004-09-29 ,77.1666666666667,27.0,common minkie whale,1,unknown,2004
260, 2004-09-29 ,77.1166666666667,27.0,common minkie whale,1,unknown,2004
261, 2004-09-29 ,77.1,27.0,common minkie whale,1,unknown,2004
262, 2004-09-29 ,77.0807,27.0081,common minkie whale,1,water,2004
263, 2004-09-29 ,77.0199,27.0157,common minkie whale,1,water,2004
264, 2004-09-29 ,77.1003,27.3773,common minkie whale,1,water,2004
265, 2004-09-29 ,77.1004,27.0086,common minkie whale,1,water,2004
266, 2004-09-29 ,77.1007,28.2767,common minkie whale,1,water,2004
267, 2004-09-29 ,77.101,27.2241,common minkie whale,1,water,2004
268, 2004-09-29 ,77.1333333333333,27.0,common minkie whale,1,unknown,2004
269, 2004-09-30 ,76.65,32.7,common minkie whale,1,unknown,2004
270, 2004-09-30 ,76.3968,32.4259,common minkie whale,1,water,2004
271, 2005-06-02 ,74.6333333333333,5.35,common minkie whale,1,unknown,2005
272, 2005-06-02 ,74.3804,5.2198,common minkie whale,1,water,2005
273, 2005-06-04 ,74.2806,13.5555,common minkie whale,1,water,2005
274, 2005-06-04 ,74.3026,14.5948,common minkie whale,1,water,2005
275, 2005-06-04 ,74.4666666666667,13.9166666666667,common minkie whale,1,unknown,2005
276, 2005-06-04 ,74.3127,14.2814,common minkie whale,1,water,2005
277, 2005-06-05 ,74.2656,18.2294,common minkie whale,1,water,2005
278, 2005-06-05 ,74.35,18.1666666666667,common minkie whale,1,unknown,2005
279, 2005-06-05 ,74.4333333333333,18.3666666666667,common minkie whale,1,unknown,2005
280, 2005-06-05 ,74.2666666666667,18.0,common minkie whale,1,unknown,2005
281, 2005-06-05 ,74.35,18.15,common minkie whale,1,unknown,2005
282, 2005-06-05 ,74.2142,18.101,common minkie whale,1,water,2005
283, 2005-06-05 ,74.3,18.05,common minkie whale,1,unknown,2005
284, 2005-06-05 ,74.2969,17.5594,common minkie whale,1,water,2005
285, 2005-06-05 ,74.1684,18.0094,common minkie whale,1,water,2005
286, 2005-06-05 ,74.1628,17.5989,common minkie whale,1,water,2005
287, 2005-06-05 ,74.4833333333333,17.95,common minkie whale,1,unknown,2005
288, 2005-06-05 ,74.1825,18.0359,common minkie whale,1,water,2005
289, 2005-06-05 ,74.4833333333333,17.9166666666667,common minkie whale,1,unknown,2005
290, 2005-06-05 ,74.2133,18.0992,common minkie whale,1,water,2005
291, 2005-06-05 ,74.2968,17.5739,common minkie whale,1,water,2005
292, 2005-06-05 ,74.2666666666667,17.9833333333333,common minkie whale,1,unknown,2005
293, 2005-06-26 ,74.3833333333333,19.6,common minkie whale,1,unknown,2005
294, 2005-07-04 ,76.4333333333333,14.5166666666667,common minkie whale,1,unknown,2005
295, 2005-07-11 ,80.687,20.922,common minkie whale,1,water,2005
296, 2005-07-16 ,71.4333333333333,15.2166666666667,common minkie whale,1,unknown,2005
297, 2005-07-17 ,76.1666666666667,9.85,common minkie whale,1,unknown,2005
298, 2005-07-19 ,79.8166666666667,10.1166666666667,common minkie whale,1,unknown,2005
299, 2005-07-22 ,79.707,13.955,common minkie whale,1,water,2005
300, 2005-07-27 ,78.25,10.0,common minkie whale,1,unknown,2005
301, 2005-07-30 ,74.8333333333333,18.2666666666667,common minkie whale,1,unknown,2005
302, 2005-08-07 ,74.8,27.7666666666667,common minkie whale,1,unknown,2005
303, 2005-08-08 ,74.5,5.68333333333333,common minkie whale,1,unknown,2005
304, 2005-08-08 ,74.3097,5.4168,common minkie whale,1,water,2005
305, 2005-08-09 ,74.3038,13.5467,common minkie whale,1,water,2005
306, 2005-08-09 ,74.5,11.35,common minkie whale,1,unknown,2005
307, 2005-08-09 ,74.5,11.1666666666667,common minkie whale,1,unknown,2005
308, 2005-08-09 ,74.5,11.45,common minkie whale,1,unknown,2005
309, 2005-08-09 ,74.3068,11.0852,common minkie whale,1,water,2005
310, 2005-08-09 ,74.3054,11.2145,common minkie whale,1,water,2005
311, 2005-08-13 ,77.9333333333333,12.75,common minkie whale,1,unknown,2005
312, 2005-08-13 ,78.0965,12.4566,common minkie whale,1,water,2005
313, 2005-08-13 ,77.5622,12.4536,common minkie whale,1,water,2005
314, 2005-08-19 ,77.4166666666667,12.8166666666667,common minkie whale,1,unknown,2005
315, 2005-08-19 ,78.1041,14.1223,common minkie whale,1,water,2005
316, 2005-08-20 ,76.2609,14.5115,common minkie whale,1,water,2005
317, 2005-08-21 ,76.1557,15.2908,common minkie whale,1,water,2005
318, 2005-08-22 ,78.9833333333333,11.6166666666667,common minkie whale,1,water,2005
319, 2005-08-22 ,78.9666666666667,11.75,common minkie whale,1,water,2005
320, 2005-08-22 ,78.9833333333333,11.7833333333333,common minkie whale,1,water,2005
321, 2005-08-23 ,74.2166666666667,19.1666666666667,common minkie whale,1,unknown,2005
322, 2005-08-23 ,74.0345,19.0308,common minkie whale,1,water,2005
323, 2005-09-02 ,79.7833333333333,14.0666666666667,common minkie whale,1,water,2005
324, 2005-09-03 ,74.4981,36.2739,common minkie whale,1,water,2005
325, 2005-09-03 ,75.15,35.3666666666667,common minkie whale,1,unknown,2005
326, 2005-09-03 ,75.15,35.3833333333333,common minkie whale,1,unknown,2005
327, 2005-09-03 ,74.5187,36.2004,common minkie whale,1,water,2005
328, 2005-09-03 ,74.5031,36.2564,common minkie whale,1,water,2005
329, 2005-09-03 ,75.0666666666667,35.6,common minkie whale,1,unknown,2005
330, 2005-09-03 ,74.4947,36.2858,common minkie whale,1,water,2005
331, 2005-09-03 ,74.5452,36.1061,common minkie whale,1,water,2005
332, 2005-09-03 ,75.1166666666667,35.4666666666667,common minkie whale,1,unknown,2005
333, 2005-09-03 ,75.1166666666667,35.4666666666667,common minkie whale,1,unknown,2005
334, 2005-09-04 ,74.7166666666667,34.45,common minkie whale,1,unknown,2005
335, 2005-09-04 ,74.4389,34.2763,common minkie whale,1,water,2005
336, 2005-09-04 ,74.4396,34.1988,common minkie whale,1,water,2005
337, 2005-09-04 ,74.7166666666667,34.4,common minkie whale,1,unknown,2005
338, 2005-09-04 ,74.4384,34.1215,common minkie whale,1,water,2005
339, 2005-09-04 ,74.4393,34.241,common minkie whale,1,water,2005
340, 2005-09-04 ,74.7166666666667,34.2,common minkie whale,1,unknown,2005
341, 2005-09-04 ,74.7166666666667,34.3166666666667,common minkie whale,1,unknown,2005
342, 2005-09-05 ,75.5015,36.581,common minkie whale,1,water,2005
343, 2005-09-06 ,75.2004,31.3587,common minkie whale,1,water,2005
344, 2005-09-06 ,75.023,30.5246,common minkie whale,1,water,2005
345, 2005-09-06 ,75.0246,31.0384,common minkie whale,1,water,2005
346, 2005-09-06 ,75.0333333333333,30.8666666666667,common minkie whale,1,unknown,2005
347, 2005-09-06 ,75.0333333333333,31.05,common minkie whale,1,unknown,2005
348, 2005-09-07 ,75.3415,29.0762,common minkie whale,1,water,2005
349, 2005-09-07 ,75.3712,30.1418,common minkie whale,1,water,2005
350, 2005-09-07 ,75.5666666666667,29.1166666666667,common minkie whale,1,unknown,2005
351, 2005-09-07 ,75.6166666666667,30.2333333333333,common minkie whale,1,unknown,2005
352, 2005-09-16 ,76.3166666666667,25.25,common minkie whale,1,unknown,2005
353, 2005-09-16 ,76.1792,25.1589,common minkie whale,1,water,2005
354, 2005-09-18 ,76.2558,37.1346,common minkie whale,1,water,2005
355, 2005-09-18 ,76.4166666666667,37.2166666666667,common minkie whale,1,unknown,2005
356, 2006-06-26 ,79.097,26.092,common minkie whale,1,water,2006
357, 2006-07-02 ,79.9833333333333,13.7333333333333,common minkie whale,1,water,2006
358, 2006-07-06 ,76.2333333333333,12.3333333333333,common minkie whale,1,water,2006
359, 2006-07-12 ,80.36,18.248,common minkie whale,1,water,2006
360, 2006-07-13 ,77.1,13.1116666666667,common minkie whale,1,water,2006
361, 2006-07-20 ,77.333,12.555,common minkie whale,1,water,2006
362, 2006-07-27 ,80.097,31.376,common minkie whale,1,water,2006
363, 2006-07-31 ,79.679,13.317,common minkie whale,1,water,2006
364, 2006-07-31 ,79.679,13.317,common minkie whale,1,water,2006
365, 2006-08-11 ,76.1998,21.3662,common minkie whale,1,water,2006
366, 2006-08-11 ,76.103,19.5272,common minkie whale,1,water,2006
367, 2006-08-11 ,75.9833333333333,15.9833333333333,common minkie whale,1,unknown,2006
